"PLAN_CTRL_CD","PLAN_CTRL_NUM","MMS_COMPANY_NUM","BUS_ASC_NAME","PLAN_TYPE_CODE","PLAN_RECV_DATE","PLAN_COORDINATOR"
"R","2630","02225","Freeport-McMoRan Sulphur Inc.","POE",10/18/1990,"DT"
"R","2631","00185","Samedan Oil Corporation","POE",10/22/1990,"AG"
"R","2632","00282","Dominion Exploration & Production, Inc.","POE",10/22/1990,"MT"
"R","2633","00040","Texaco Inc.","DOCD",10/23/1990,"WW"
"R","2634","02225","Freeport-McMoRan Sulphur Inc.","POE",10/29/1990,"DT"
"R","2635","01364","Newfield Exploration Company","POE",10/30/1990,"AG"
"R","2636","00114","BP America Production Company","DOCD",10/31/1990,"MT"
"R","2637","00148","Anadarko E&P Company LP","POE",10/31/1990,"WW"
"R","2638","00967","Atlantic Richfield Company","POE",11/2/1990,"DT"
"R","2639","00276","Exxon Mobil Corporation","POE",11/5/1990,"AG"
"R","2640","02225","Freeport-McMoRan Sulphur Inc.","POE",11/5/1990,"MT"
"R","2641","00232","Odeco Oil & Gas Company","DOCD",11/5/1990,"WW"
"R","2642","01225","Wayman W. Buchanan, Inc.","POE",11/7/1990,"DT"
"R","2643","01550","Unocal Exploration Corporation","DOCD",11/8/1990,"AG"
"R","2644","00040","Texaco Inc.","DOCD",11/9/1990,"MT"
"R","2645","00689","Shell Offshore Inc.","POE",11/14/1990,"WW"
"R","2646","02225","Freeport-McMoRan Sulphur Inc.","POE",11/19/1990,"DT"
"R","2647","01550","Unocal Exploration Corporation","DOCD",11/21/1990,"AG"
"R","2648","02225","Freeport-McMoRan Sulphur Inc.","POE",12/4/1990,"MT"
"R","2649","00967","Atlantic Richfield Company","POE",12/6/1990,"WW"
"R","2650","01550","Unocal Exploration Corporation","POE",12/11/1990,"DT"
"R","2651","00232","Odeco Oil & Gas Company","DOCD",12/14/1990,"AG"
"R","2652","02225","Freeport-McMoRan Sulphur Inc.","POE",12/26/1990,"MT"
"R","2653","00185","Samedan Oil Corporation","POE",12/17/1990,"WW"
"R","2727","00968","Union Texas Petroleum Corporation","POE",5/16/1991,"AG"
"R","2654","00232","Odeco Oil & Gas Company","POE",1/3/1991,"DT"
"R","2655","00967","Atlantic Richfield Company","POE",1/4/1991,"AG"
"R","2656","00276","Exxon Mobil Corporation","POE",1/4/1991,"MT"
"R","2657","00250","ORYX ENERGY COMPANY","POE",1/7/1991,"WW"
"R","2658","00232","Odeco Oil & Gas Company","POE",1/9/1991,"DT"
"R","2659","00730","Walter Oil & Gas Corporation","POE",1/9/1991,"AG"
"R","2660","00232","Odeco Oil & Gas Company","POE",1/11/1991,"MT"
"R","2661","00162","Eni Petroleum Co. Inc.","POE",1/11/1991,"WW"
"R","2662","00748","SOCO Offshore, Inc.","POE",1/15/1991,"DT"
"R","2663","00078","Chevron U.S.A. Inc.","POE",1/17/1991,"AG"
"R","2664","00059","Hess Corporation","POE",1/17/1991,"MT"
"R","2665","01103","EOG Resources, Inc.","POE",1/17/1991,"WW"
"R","2666","01956","Seagull Energy E&P Inc.","POE",1/22/1991,"DT"
"R","2667","00078","Chevron U.S.A. Inc.","POE",1/22/1991,"AG"
"R","2668","02225","Freeport-McMoRan Sulphur Inc.","POE",1/25/1991,"MT"
"R","2669","01956","Seagull Energy E&P Inc.","POE",1/25/1991,"WW"
"R","2670","02219","Anadarko US Offshore LLC","POE",1/29/1991,"DT"
"R","2671","00040","Texaco Inc.","DOCD",1/29/1991,"AG"
"R","2672","01732","Cockrell Oil and Gas, L.P.","POE",1/30/1991,"MT"
"R","2673","00040","Texaco Inc.","POE",1/31/1991,"WW"
"R","2674","00059","Hess Corporation","POE",2/4/1991,"DT"
"R","2675","00056","ConocoPhillips Company","POE",2/5/1991,"AG"
"R","2676","00232","Odeco Oil & Gas Company","POE",2/6/1991,"MT"
"R","2677","00185","Samedan Oil Corporation","POE",2/7/1991,"WW"
"R","2678","00021","MOBIL NOC INC.","POE",2/8/1991,"DT"
"R","2679","01550","Unocal Exploration Corporation","POE",2/8/1991,"AG"
"R","2680","00320","ATOFINA Petrochemicals, Inc.","POE",2/13/1991,"MT"
"R","2681","00232","Odeco Oil & Gas Company","DOCD",2/14/1991,"WW"
"R","2682","00250","ORYX ENERGY COMPANY","POE",2/20/1991,"DT"
"R","2683","00059","Hess Corporation","POE",2/20/1991,"AG"
"R","2684","00001","Conoco Inc.","POE",2/27/1991,"MT"
"R","2685","00276","Exxon Mobil Corporation","POE",2/28/1991,"WW"
"R","2686","00185","Samedan Oil Corporation","DOCD",3/8/1991,"DT"
"R","2687","01732","Cockrell Oil and Gas, L.P.","POE",3/12/1991,"AG"
"R","2688","01364","Newfield Exploration Company","POE",3/12/1991,"MT"
"R","2689","01550","Unocal Exploration Corporation","POE",3/12/1991,"WW"
"R","2690","00689","Shell Offshore Inc.","POE",3/15/1991,"DT"
"R","2691","00148","Anadarko E&P Company LP","POE",3/19/1991,"AG"
"R","2692","02225","Freeport-McMoRan Sulphur Inc.","POE",3/20/1991,"MT"
"R","2693","00724","Marathon Oil Company","POE",3/21/1991,"WW"
"R","2694","00967","Atlantic Richfield Company","POE",3/22/1991,"DT"
"R","2695","01102","Century Offshore Management Corporation","DOCD",3/22/1991,"AG"
"R","2696","00232","Odeco Oil & Gas Company","DOCD",3/25/1991,"MT"
"R","2697","00059","Hess Corporation","POE",3/27/1991,"WW"
"R","2698","00021","MOBIL NOC INC.","POE",4/5/1991,"DT"
"R","2699","00282","Dominion Exploration & Production, Inc.","DOCD",4/11/1991,"AG"
"R","2700","01550","Unocal Exploration Corporation","POE",4/11/1991,"MT"
"R","2701","00276","Exxon Mobil Corporation","DOCD",4/12/1991,"WW"
"R","2702","01956","Seagull Energy E&P Inc.","POE",4/15/1991,"DT"
"R","2703","00001","Conoco Inc.","POE",4/17/1991,"AG"
"R","2704","00730","Walter Oil & Gas Corporation","POE",4/19/1991,"MT"
"R","2705","00078","Chevron U.S.A. Inc.","DOCD",4/19/1991,"WW"
"R","2706","01732","Cockrell Oil and Gas, L.P.","POE",4/22/1991,"DT"
"R","2707","00689","Shell Offshore Inc.","POE",4/22/1991,"AG"
"R","2708","00040","Texaco Inc.","DOCD",4/24/1991,"MT"
"R","2709","00276","Exxon Mobil Corporation","POE",4/26/1991,"WW"
"R","2710","00282","Dominion Exploration & Production, Inc.","POE",4/29/1991,"DT"
"R","2711","00185","Samedan Oil Corporation","POE",4/29/1991,"AG"
"R","2712","02225","Freeport-McMoRan Sulphur Inc.","POE",4/30/1991,"MT"
"R","2713","00078","Chevron U.S.A. Inc.","DOCD",5/1/1991,"WW"
"R","2714","00282","Dominion Exploration & Production, Inc.","POE",5/1/1991,"DT"
"R","2715","00232","Odeco Oil & Gas Company","DOCD",5/2/1991,"AG"
"R","2716","01151","NCX Company, Inc.","POE",5/2/1991,"MT"
"R","2717","01509","Global Marine Oil & Gas Company","POE",5/8/1991,"DT"
"R","2718","01680","BP Exploration & Oil Inc.","POE",5/8/1991,"DT"
"R","2719","00078","Chevron U.S.A. Inc.","DOCD",5/9/1991,"AG"
"R","2720","00968","Union Texas Petroleum Corporation","POE",5/9/1991,"MT"
"R","2721","02225","Freeport-McMoRan Sulphur Inc.","POE",5/9/1991,"WW"
"R","2722","02246","St. Mary Energy Company","POE",5/10/1991,"DT"
"R","2723","00818","Mariner Energy, Inc.","POE",5/13/1991,"AG"
"R","2724","00021","MOBIL NOC INC.","POE",5/15/1991,"MT"
"R","2725","00232","Odeco Oil & Gas Company","POE",5/15/1991,"WW"
"R","2726","00276","Exxon Mobil Corporation","DOCD",5/16/1991,"DT"
"R","2728","01550","Unocal Exploration Corporation","POE",5/17/1991,"MT"
"R","2729","00250","ORYX ENERGY COMPANY","POE",5/20/1991,"WW"
"R","2730","00021","MOBIL NOC INC.","POE",5/23/1991,"DT"
"R","2731","01138","El Paso Production GOM Inc.","POE",5/24/1991,"AG"
"R","2732","00968","Union Texas Petroleum Corporation","DOCD",5/28/1991,"MT"
"R","2733","02246","St. Mary Energy Company","POE",5/29/1991,"WW"
"R","2734","01680","BP Exploration & Oil Inc.","POE",5/29/1991,"DT"
"R","2735","02219","Anadarko US Offshore LLC","POE",5/30/1991,"AG"
"R","2737","00114","BP America Production Company","DOCD",6/20/1991,"MT"
"R","2736","00677","Howell Petroleum Corporation","DOCD",6/18/1991,"MT"
"R","2738","01500","TOTAL E&P USA, INC.","POE",6/21/1991,"DT"
"R","2739","00724","Marathon Oil Company","POE",6/21/1991,"AG"
"R","2740","00040","Texaco Inc.","DOCD",6/28/1991,"MT"
"R","2741","01138","El Paso Production GOM Inc.","DOCD",7/8/1991,"DT"
"R","2742","00114","BP America Production Company","DOCD",7/11/1991,"AG"
"R","2743","00232","Odeco Oil & Gas Company","DOCD",7/15/1991,"MT"
"R","2744","00078","Chevron U.S.A. Inc.","POE",7/23/1991,"DT"
"R","2745","00282","Dominion Exploration & Production, Inc.","POE",8/1/1991,"AG"
"R","2746","01334","LLECO Holdings, Inc.","DOCD",8/2/1991,"MT"
"R","2747","00001","Conoco Inc.","POE",8/5/1991,"DT"
"S","3186","01750","Pennzoil Exploration and Production Company","DOCD",2/28/1994,"GN"
"S","3187","01689","Murphy Exploration & Production Company","POE",2/28/1994,"DT"
"S","3188","00078","Chevron U.S.A. Inc.","DOCD",3/1/1994,"MT"
"S","3189","00582","PG&E Resources Offshore Company","POE",3/1/1994,"AG"
"S","3190","00040","Texaco Inc.","DOCD",3/1/1994,"GN"
"S","3191","00059","Hess Corporation","DOCD",3/2/1994,"DT"
"S","3192","00276","Exxon Mobil Corporation","DOCD",3/3/1994,"MT"
"S","3193","00078","Chevron U.S.A. Inc.","DOCD",3/3/1994,"AG"
"S","3194","01732","Cockrell Oil and Gas, L.P.","POE",3/3/1994,"GN"
"S","3195","00185","Samedan Oil Corporation","POE",3/3/1994,"DT"
"S","3196","01732","Cockrell Oil and Gas, L.P.","POE",3/4/1994,"MT"
"S","3197","01689","Murphy Exploration & Production Company","POE",3/7/1994,"AG"
"S","3198","00003","Union Oil Company of California","POE",3/7/1994,"GN"
"S","3199","00282","Dominion Exploration & Production, Inc.","DOCD",3/9/1994,"DT"
"S","3200","01138","El Paso Production GOM Inc.","DOCD",3/10/1994,"MT"
"S","3201","00276","Exxon Mobil Corporation","DOCD",3/11/1994,"AG"
"S","3202","01855","Vastar Resources, Inc.","DOCD",3/14/1994,"GN"
"S","3203","00078","Chevron U.S.A. Inc.","POE",3/14/1994,"DT"
"S","3204","01689","Murphy Exploration & Production Company","POE",3/14/1994,"MT"
"S","3205","01750","Pennzoil Exploration and Production Company","DOCD",3/14/1994,"AG"
"S","3206","00040","Texaco Inc.","DOCD",3/14/1994,"GN"
"S","3207","00059","Hess Corporation","POE",3/15/1994,"DT"
"S","3208","01689","Murphy Exploration & Production Company","POE",3/17/1994,"MT"
"S","3209","00730","Walter Oil & Gas Corporation","POE",3/17/1994,"AG"
"S","3210","01750","Pennzoil Exploration and Production Company","DOCD",3/17/1994,"GN"
"S","3211","00003","Union Oil Company of California","DOCD",3/18/1994,"DT"
"S","3212","00730","Walter Oil & Gas Corporation","DOCD",3/18/1994,"MT"
"S","3213","01750","Pennzoil Exploration and Production Company","POE",3/21/1994,"AG"
"S","3214","00282","Dominion Exploration & Production, Inc.","POE",3/21/1994,"GN"
"S","3215","01364","Newfield Exploration Company","POE",3/21/1994,"DT"
"S","3216","00040","Texaco Inc.","DOCD",3/22/1994,"MT"
"S","3217","00114","BP America Production Company","DOCD",3/22/1994,"AG"
"S","3218","01138","El Paso Production GOM Inc.","POE",3/24/1994,"GN"
"S","3219","01728","Shell Frontier Oil & Gas Inc.","DOCD",3/24/1994,"DT"
"S","3220","01689","Murphy Exploration & Production Company","POE",3/25/1994,"MT"
"S","3221","01750","Pennzoil Exploration and Production Company","DOCD",3/25/1994,"AG"
"S","3222","01055","Mobil Exploration and Producing North America Inc.","POE",3/28/1994,"GN"
"S","3223","00320","ATOFINA Petrochemicals, Inc.","POE",3/28/1994,"DT"
"S","3224","01364","Newfield Exploration Company","DOCD",3/29/1994,"MT"
"S","3225","00003","Union Oil Company of California","DOCD",3/29/1994,"AG"
"S","3226","00689","Shell Offshore Inc.","DOCD",3/30/1994,"GN"
"S","3227","00689","Shell Offshore Inc.","POE",3/30/1994,"DT"
"S","3228","00250","ORYX ENERGY COMPANY","DOCD",3/30/1994,"MT"
"S","3229","01364","Newfield Exploration Company","DOCD",3/31/1994,"AG"
"S","3230","00078","Chevron U.S.A. Inc.","DOCD",3/31/1994,"GN"
"S","3231","00001","Conoco Inc.","DOCD",4/1/1994,"DT"
"S","3232","00240","ANR Production Company","DOCD",4/1/1994,"MT"
"S","3233","00003","Union Oil Company of California","DOCD",4/4/1994,"AG"
"S","3234","00282","Dominion Exploration & Production, Inc.","DOCD",4/5/1994,"GN"
"S","3235","01511","DALEN Resources Oil & Gas Co.","DOCD",4/6/1994,"DT"
"S","3236","02225","Freeport-McMoRan Sulphur Inc.","POE",4/6/1994,"MT"
"S","3237","00369","CanadianOxy Offshore Production Co.","DOCD",4/7/1994,"AG"
"S","3238","00250","ORYX ENERGY COMPANY","DOCD",4/8/1994,"GN"
"S","3239","01956","Seagull Energy E&P Inc.","DOCD",4/11/1994,"DT"
"S","3240","01364","Newfield Exploration Company","POE",4/11/1994,"MT"
"S","3241","01732","Cockrell Oil and Gas, L.P.","POE",4/11/1994,"AG"
"S","3242","00560","Seneca Resources Corporation","DOCD",4/12/1994,"GN"
"S","3243","00689","Shell Offshore Inc.","DOCD",4/12/1994,"DT"
"S","3244","00276","Exxon Mobil Corporation","DOCD",4/14/1994,"MT"
"S","3245","00078","Chevron U.S.A. Inc.","DOCD",4/15/1994,"AG"
"S","3246","00730","Walter Oil & Gas Corporation","POE",4/15/1994,"GN"
"S","3247","00730","Walter Oil & Gas Corporation","DOCD",4/15/1994,"DT"
"S","3248","02219","Anadarko US Offshore LLC","DOCD",4/15/1994,"MT"
"S","3249","01578","British-Borneo USA, Inc.","POE",4/15/1994,"AG"
"S","3250","01586","Petsec Energy Inc.","DOCD",4/18/1994,"GN"
"S","3251","01578","British-Borneo USA, Inc.","DOCD",4/18/1994,"DT"
"S","3252","00078","Chevron U.S.A. Inc.","DOCD",4/18/1994,"MT"
"S","3253","00276","Exxon Mobil Corporation","DOCD",4/19/1994,"AG"
"S","3254","00276","Exxon Mobil Corporation","DOCD",4/19/1994,"GN"
"S","3255","01091","Gulfstream Resources, Inc.","DOCD",4/19/1994,"DT"
"S","3256","00689","Shell Offshore Inc.","DOCD",4/20/1994,"MT"
"S","3257","00185","Samedan Oil Corporation","POE",4/21/1994,"AG"
"S","3258","01364","Newfield Exploration Company","POE",4/22/1994,"GN"
"S","3259","00059","Hess Corporation","DOCD",4/25/1994,"DT"
"S","3260","00021","MOBIL NOC INC.","DOCD",4/25/1994,"MT"
"S","3261","01511","DALEN Resources Oil & Gas Co.","DOCD",4/26/1994,"AG"
"S","3262","01511","DALEN Resources Oil & Gas Co.","DOCD",4/26/1994,"GN"
"S","3263","00898","Energen Resources MAQ, Inc.","DOCD",4/26/1994,"DT"
"S","3264","01364","Newfield Exploration Company","DOCD",4/26/1994,"MT"
"S","3265","00078","Chevron U.S.A. Inc.","DOCD",4/28/1994,"AG"
"S","3266","01151","NCX Company, Inc.","DOCD",4/29/1994,"GN"
"S","3267","01138","El Paso Production GOM Inc.","DOCD",5/2/1994,"DT"
"S","3268","00992","Diamond Shamrock Offshore Partners Limited Partnership","DOCD",5/2/1994,"MT"
"S","3269","00048","Sabine Oil & Gas Corporation","DOCD",5/3/1994,"AG"
"S","3270","01750","Pennzoil Exploration and Production Company","DOCD",5/4/1994,"GN"
"S","3271","00003","Union Oil Company of California","DOCD",5/4/1994,"DT"
"S","3272","01935","Pioneer Natural Resources USA, Inc.","DOCD",5/5/1994,"MT"
"S","3273","00276","Exxon Mobil Corporation","DOCD",5/5/1994,"AG"
"S","3274","00078","Chevron U.S.A. Inc.","DOCD",5/9/1994,"GN"
"S","3275","01732","Cockrell Oil and Gas, L.P.","DOCD",5/9/1994,"DT"
"S","3276","01089","Norcen Explorer, Inc.","POE",5/9/1994,"MT"
"S","3277","01055","Mobil Exploration and Producing North America Inc.","DOCD",5/11/1994,"AG"
"S","3278","01089","Norcen Explorer, Inc.","DOCD",5/11/1994,"GN"
"S","3279","00846","Hall-Houston Oil Company","POE",5/11/1994,"DT"
"S","3280","01956","Seagull Energy E&P Inc.","POE",5/17/1994,"MT"
"S","3281","01551","Devon SFS Operating, Inc.","POE",5/18/1994,"AG"
"S","3282","00114","BP America Production Company","DOCD",5/20/1994,"GN"
"S","3283","00730","Walter Oil & Gas Corporation","POE",5/23/1994,"DT"
"S","3284","01089","Norcen Explorer, Inc.","DOCD",5/23/1994,"MT"
"S","3285","00689","Shell Offshore Inc.","POE",5/24/1994,"AG"
"S","3286","01364","Newfield Exploration Company","DOCD",5/26/1994,"GN"
"S","3287","01750","Pennzoil Exploration and Production Company","DOCD",5/26/1994,"DT"
"S","3288","02219","Anadarko US Offshore LLC","DOCD",5/27/1994,"MT"
"S","3289","00276","Exxon Mobil Corporation","DOCD",5/27/1994,"AG"
"S","3290","00276","Exxon Mobil Corporation","DOCD",5/27/1994,"GN"
"S","3291","01750","Pennzoil Exploration and Production Company","DOCD",5/27/1994,"DT"
"S","3292","00282","Dominion Exploration & Production, Inc.","POE",6/2/1994,"MT"
"S","3293","02219","Anadarko US Offshore LLC","POE",6/2/1994,"AG"
"S","3294","01673","SCANA Petroleum Resources, Inc.","DOCD",6/3/1994,"GN"
"S","3295","01956","Seagull Energy E&P Inc.","POE",6/3/1994,"DT"
"S","3296","00001","Conoco Inc.","POE",6/6/1994,"MT"
"N","6159","00185","Samedan Oil Corporation","POE",4/17/1998,"AG"
"N","6160","00415","Energy Development Corporation","DOCD",4/17/1998,"MT"
"N","6161","01138","El Paso Production GOM Inc.","POE",4/21/1998,"RS"
"N","6162","00250","ORYX ENERGY COMPANY","POE",4/21/1998,"GN"
"N","6163","02219","Anadarko US Offshore LLC","DOCD",4/21/1998,"AG"
"N","6164","01855","Vastar Resources, Inc.","POE",4/22/1998,"MT"
"N","6165","01138","El Paso Production GOM Inc.","POE",4/23/1998,"RS"
"N","6166","01974","Reading & Bates Development Co.","POE",4/23/1998,"GN"
"N","6168","01711","Cairn Energy USA, LLC","DOCD",5/4/1998,"MT"
"N","6169","00250","ORYX ENERGY COMPANY","POE",4/30/1998,"RS"
"N","6170","01046","The Houston Exploration Company","POE",5/1/1998,"GN"
"N","6172","01888","McMoRan Oil & Gas Co.","DOCD",5/6/1998,"MT"
"N","6173","00078","Chevron U.S.A. Inc.","POE",5/7/1998,"RS"
"N","6174","01732","Cockrell Oil and Gas, L.P.","POE",5/7/1998,"GN"
"N","6176","01732","Cockrell Oil and Gas, L.P.","POE",5/11/1998,"MT"
"N","6177","01855","Vastar Resources, Inc.","DOCD",5/11/1998,"RS"
"N","6179","00078","Chevron U.S.A. Inc.","POE",5/12/1998,"AG"
"N","6180","01578","British-Borneo USA, Inc.","POE",5/11/1998,"MT"
"N","6182","00083","The Louisiana Land and Exploration Company","POE",5/14/1998,"GN"
"N","6183","00282","Dominion Exploration & Production, Inc.","DOCD",5/19/1998,"AG"
"N","6184","01500","TOTAL E&P USA, INC.","POE",5/19/1998,"MT"
"N","6185","00003","Union Oil Company of California","DOCD",5/20/1998,"RS"
"N","6186","02025","EP Energy E&P Company, L.P.","DOCD",5/11/1998,"GN"
"N","6188","00185","Samedan Oil Corporation","POE",5/20/1998,"MT"
"N","6189","01138","El Paso Production GOM Inc.","POE",5/20/1998,"RS"
"N","6191","01138","El Paso Production GOM Inc.","POE",5/21/1998,"AG"
"N","6192","00185","Samedan Oil Corporation","DOCD",5/22/1998,"MT"
"N","6193","01689","Murphy Exploration & Production Company","DOCD",5/22/1998,"RS"
"N","6195","01138","El Paso Production GOM Inc.","POE",5/26/1998,"AG"
"N","6196","01138","El Paso Production GOM Inc.","POE",5/26/1998,"MT"
"N","6197","01364","Newfield Exploration Company","DOCD",5/26/1998,"RS"
"N","6199","01578","British-Borneo USA, Inc.","POE",5/29/1998,"AG"
"R","21","01750","Pennzoil Exploration and Production Company","POE",1/21/1980,"ES"
"R","54","00236","El Paso Production Company","POE",2/27/1980,"ES"
"R","72","01689","Murphy Exploration & Production Company","POD",3/12/1980,"ES"
"R","73","01689","Murphy Exploration & Production Company","POD",3/13/1980,"ES"
"R","74","01689","Murphy Exploration & Production Company","POD",3/13/1980,"ES"
"R","108","01687","Matrix Oil & Gas, Inc.","DOCD",5/7/1980,"ES"
"R","153","01855","Vastar Resources, Inc.","POE",7/31/1980,"ES"
"R","158","01689","Murphy Exploration & Production Company","POE",8/13/1980,"ES"
"R","221","00001","Conoco Inc.","POE",11/12/1980,"ES"
"R","230","01689","Murphy Exploration & Production Company","POD",11/28/1980,"ES"
"R","235","00001","Conoco Inc.","POE",12/8/1980,"ES"
"R","251","01689","Murphy Exploration & Production Company","POE",1/5/1981,"ES"
"R","278","01379","Brock Minerals Corporation","POE",2/19/1981,"ES"
"R","291","00540","MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.","POE",3/4/1981,"ES"
"R","306","01764","Energy Resource Technology, Inc.","POE",3/25/1981,"ES"
"R","308","01046","The Houston Exploration Company","POE",3/30/1981,"ES"
"R","314","01689","Murphy Exploration & Production Company","POE",4/16/1981,"ES"
"R","332","01956","Seagull Energy E&P Inc.","POE",5/8/1981,"ES"
"R","361","01764","Energy Resource Technology, Inc.","POE",6/19/1981,"ES"
"R","362","00056","ConocoPhillips Company","POD",6/19/1981,"ES"
"R","365","00540","MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.","DOCD",6/24/1981,"ES"
"R","369","01689","Murphy Exploration & Production Company","POE",6/29/1981,"ES"
"R","371","01764","Energy Resource Technology, Inc.","POD",7/1/1981,"ES"
"R","374","00059","Hess Corporation","POE",7/10/1981,"ES"
"R","381","00185","Samedan Oil Corporation","POD",7/21/1981,"ES"
"R","384","00540","MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.","DOCD",7/27/1981,"ES"
"R","395","00540","MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.","DOCD",8/7/1981,"ES"
"R","417","01689","Murphy Exploration & Production Company","POE",9/3/1981,"ES"
"R","425","00236","El Paso Production Company","DOCD",9/14/1981,"ES"
"R","441","00001","Conoco Inc.","POE",10/1/1981,"ES"
"R","448","00035","Kerr-McGee Corporation","POD",10/9/1981,"ES"
"R","468","01379","Brock Minerals Corporation","POE",12/2/1981,"ES"
"R","483","00001","Conoco Inc.","POE",12/28/1981,"ES"
"R","501","00540","MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.","DOCD",1/25/1982,"ES"
"R","513","01689","Murphy Exploration & Production Company","POE",2/26/1982,"ES"
"R","515","01689","Murphy Exploration & Production Company","POD",3/8/1982,"ES"
"R","537","01832","Forcenergy Inc","POE",4/16/1982,"ES"
"R","538","00771","Texaco Exploration and Production Inc.","POE",4/19/1982,"ES"
"R","545","00540","MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.","POE",4/29/1982,"ES"
"R","550","00777","OXY USA Inc.","POE",5/3/1982,"ES"
"R","579","00236","El Paso Production Company","DOCD",6/11/1982,"ES"
"R","583","00540","MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.","POE",6/16/1982,"ES"
"R","595","00056","ConocoPhillips Company","DOCD",6/23/1982,"ES"
"R","611","00035","Kerr-McGee Corporation","POD",7/12/1982,"ES"
"R","618","00672","Seagull Energy E&P Inc.","POE",7/14/1982,"ES"
"R","619","00540","MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.","POE",7/2/1982,"ES"
"R","627","00236","El Paso Production Company","POD",7/27/1982,"ES"
"R","632","00724","Marathon Oil Company","POE",8/2/1982,"ES"
"R","639","00689","Shell Offshore Inc.","POE",8/11/1982,"ES"
"R","640","01750","Pennzoil Exploration and Production Company","POE",8/16/1982,"ES"
"R","647","01689","Murphy Exploration & Production Company","DOCD",8/23/1982,"ES"
"R","652","00677","Howell Petroleum Corporation","POE",8/30/1982,"ES"
"R","654","00540","MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.","POE",8/30/1982,"ES"
"R","666","00540","MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.","DOCD",9/10/1982,"ES"
"R","669","00001","Conoco Inc.","POE",9/13/1982,"ES"
"R","684","00540","MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.","DOCD",10/1/1982,"ES"
"R","703","01379","Brock Minerals Corporation","POE",11/3/1982,"ES"
"R","705","00677","Howell Petroleum Corporation","POE",11/9/1982,"ES"
"R","707","00105","Apache Corporation","POE",11/12/1982,"ES"
"R","714","00777","OXY USA Inc.","POE",11/16/1982,"ES"
"R","717","00771","Texaco Exploration and Production Inc.","POE",11/17/1982,"ES"
"R","719","01750","Pennzoil Exploration and Production Company","POD",11/19/1982,"ES"
"R","720","01689","Murphy Exploration & Production Company","DOCD",11/18/1982,"ES"
"R","739","00677","Howell Petroleum Corporation","POE",12/20/1982,"ES"
"R","742","00001","Conoco Inc.","POE",12/21/1982,"ES"
"R","744","00724","Marathon Oil Company","POE",1/7/1983,"ES"
"R","754","00105","Apache Corporation","POD",1/25/1983,"ES"
"R","756","00771","Texaco Exploration and Production Inc.","POE",1/28/1983,"ES"
"R","758","00672","Seagull Energy E&P Inc.","POE",2/1/1983,"ES"
"R","762","01291","Pennzoil Exploration and Production Company","POD",2/2/1983,"ES"
"R","770","00777","OXY USA Inc.","POE",2/10/1983,"ES"
"R","786","01689","Murphy Exploration & Production Company","POE",3/3/1983,"ES"
"R","789","01689","Murphy Exploration & Production Company","POE",3/8/1983,"ES"
"R","792","01689","Murphy Exploration & Production Company","POE",3/11/1983,"ES"
"R","806","00105","Apache Corporation","POE",3/30/1983,"ES"
"R","807","01750","Pennzoil Exploration and Production Company","DOCD",3/30/1983,"ES"
"R","816","01689","Murphy Exploration & Production Company","POE",4/12/1983,"ES"
"R","819","00771","Texaco Exploration and Production Inc.","POE",4/21/1983,"ES"
"R","822","00114","BP America Production Company","DOCD",4/21/1983,"ES"
"R","823","01689","Murphy Exploration & Production Company","DOCD",4/22/1983,"ES"
"R","830","00056","ConocoPhillips Company","POD",4/28/1983,"ES"
"R","831","00777","OXY USA Inc.","POE",5/4/1983,"ES"
"R","842","01689","Murphy Exploration & Production Company","POE",5/24/1983,"ES"
"N","4396","00967","Atlantic Richfield Company","POE",11/20/1992,"DT"
"N","4397","01334","LLECO Holdings, Inc.","POE",11/23/1992,"AG"
"N","4398","00730","Walter Oil & Gas Corporation","POE",11/27/1992,"MT"
"N","4399","00730","Walter Oil & Gas Corporation","POE",11/30/1992,"GN"
"N","4400","02225","Freeport-McMoRan Sulphur Inc.","POE",12/3/1992,"DT"
"N","4401","01601","Gulfstar Energy, Inc.","POE",12/7/1992,"AG"
"N","4402","00724","Marathon Oil Company","POE",12/8/1992,"MT"
"N","4403","00185","Samedan Oil Corporation","POE",12/11/1992,"GN"
"N","4404","00056","ConocoPhillips Company","POE",12/14/1992,"DT"
"N","4405","02219","Anadarko US Offshore LLC","DOCD",12/14/1992,"AG"
"N","4406","02219","Anadarko US Offshore LLC","DOCD",12/14/1992,"MT"
"N","4407","01956","Seagull Energy E&P Inc.","POE",12/15/1992,"GN"
"N","4408","01334","LLECO Holdings, Inc.","POE",12/21/1992,"DT"
"N","4409","01138","El Paso Production GOM Inc.","POE",12/23/1992,"AG"
"N","4410","00689","Shell Offshore Inc.","POE",12/29/1992,"MT"
